sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  4.000V
Current....:  3.9914uA
Temperature:  0.0+-0.0C
Time.......:  11:47:00 - 13:16:51
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   86
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0567e+03,3.9641e+04,-27.86,0.996,0.0
2,1.4037e+03,3.6332e+04,-30.29,0.998,1.2
3,1.8647e+03,3.2920e+04,-32.93,0.998,1.7
4,2.4770e+03,2.9407e+04,-35.49,0.997,2.2
5,3.2904e+03,2.5883e+04,-37.89,0.998,2.6
6,4.3710e+03,2.2478e+04,-39.68,0.998,3.0
7,5.8064e+03,1.9298e+04,-40.79,0.999,3.5
8,7.7133e+03,1.6459e+04,-40.87,0.999,3.9
9,1.0246e+04,1.4039e+04,-39.87,0.999,4.3
10,1.3611e+04,1.2055e+04,-37.68,0.999,4.8
11,1.8081e+04,1.0488e+04,-34.52,1.000,5.3
12,2.4019e+04,9.2921e+03,-30.54,1.000,5.7
13,3.1906e+04,8.4156e+03,-26.06,1.000,6.2
14,4.2384e+04,7.7867e+03,-21.44,1.000,6.6
15,5.6303e+04,7.3691e+03,-16.85,1.000,7.0
16,7.4793e+04,7.1217e+03,-12.59,1.000,7.5
17,9.9355e+04,7.0251e+03,-8.74,1.000,7.9
18,1.3198e+05,7.1088e+03,-5.39,0.999,8.3
19,1.7532e+05,7.2096e+03,-3.36,0.999,8.8
20,2.3290e+05,7.4129e+03,-2.51,0.999,9.2
21,3.0938e+05,7.7722e+03,-2.57,1.000,9.6
22,4.1099e+05,8.1568e+03,-3.81,1.000,10.1
23,5.4595e+05,8.7093e+03,-6.20,0.998,10.8
24,7.2524e+05,9.7190e+03,-10.77,0.997,11.5
25,9.6341e+05,1.1667e+04,-19.44,0.998,11.9
26,1.2798e+06,1.5548e+04,-41.19,0.993,12.4
27,1.7001e+06,1.5931e+04,-93.48,0.999,12.8
28,2.2584e+06,8.1160e+03,-141.62,0.997,13.3
29,3.0000e+06,3.6672e+03,-162.34,0.997,13.7
30,2.2584e+06,8.3138e+03,-142.55,0.997,14.3
31,1.7001e+06,1.6328e+04,-95.56,0.997,14.7
32,1.2798e+06,1.5585e+04,-40.12,0.998,15.2
33,9.6341e+05,1.1627e+04,-18.67,0.999,15.6
34,7.2524e+05,9.5893e+03,-10.99,0.998,16.1
35,5.4595e+05,8.7991e+03,-6.79,0.999,16.6
36,4.1099e+05,8.1611e+03,-3.81,1.000,17.3
37,3.0938e+05,7.7627e+03,-2.37,0.999,17.9
38,2.3290e+05,7.4160e+03,-2.35,0.999,18.4
39,1.7532e+05,7.2108e+03,-3.41,0.999,18.8
40,1.3198e+05,7.0447e+03,-5.52,1.000,19.2
41,9.9355e+04,7.0329e+03,-8.81,1.000,19.7
42,7.4793e+04,7.1312e+03,-12.63,1.000,20.1
43,5.6303e+04,7.3857e+03,-16.96,1.000,20.5
44,4.2384e+04,7.8088e+03,-21.50,1.000,21.0
45,3.1906e+04,8.4384e+03,-26.15,1.000,21.4
46,2.4019e+04,9.3222e+03,-30.63,1.000,21.8
47,1.8081e+04,1.0524e+04,-34.62,0.999,22.3
48,1.3611e+04,1.2106e+04,-37.78,0.999,22.7
49,1.0246e+04,1.4107e+04,-39.99,0.999,23.2
50,7.7133e+03,1.6549e+04,-41.01,0.999,23.6
51,5.8064e+03,1.9416e+04,-40.93,0.998,24.0
52,4.3710e+03,2.2636e+04,-39.83,0.998,24.5
53,3.2904e+03,2.6090e+04,-38.05,0.998,24.9
54,2.4770e+03,2.9665e+04,-35.67,0.997,25.3
55,1.8647e+03,3.3245e+04,-33.04,0.996,25.8
56,1.4037e+03,3.6721e+04,-30.44,0.999,26.2
57,1.0567e+03,4.0087e+04,-28.00,0.997,26.6
58,7.9546e+02,4.3351e+04,-25.84,0.996,27.1
59,5.9881e+02,4.6546e+04,-23.96,0.997,27.5
60,4.5078e+02,4.9694e+04,-22.24,0.995,28.0
61,3.3934e+02,5.2838e+04,-20.96,0.995,28.4
62,2.5545e+02,5.6102e+04,-19.81,0.996,28.8
63,1.9230e+02,5.9438e+04,-18.88,0.997,29.3
64,1.4476e+02,6.2842e+04,-17.98,0.997,29.7
65,1.0897e+02,6.6395e+04,-17.09,0.997,30.2
66,8.2034e+01,7.0212e+04,-16.01,0.997,30.9
67,6.1693e+01,7.3913e+04,-15.33,0.998,31.7
68,4.5867e+01,7.7725e+04,-14.21,0.998,33.1
69,3.3674e+01,8.1810e+04,-13.02,0.999,34.7
70,2.4381e+01,8.5922e+04,-11.76,0.996,36.2
71,1.7382e+01,8.9755e+04,-10.07,0.998,37.7
72,1.2180e+01,9.3253e+04,-8.30,0.999,39.4
73,8.3712e+00,9.6093e+04,-6.33,0.999,41.4
74,5.6284e+00,9.7933e+04,-4.23,0.998,44.0
75,3.6905e+00,9.8656e+04,-2.46,0.998,47.5
76,2.3510e+00,9.7954e+04,-1.08,0.998,52.1
77,1.4482e+00,9.6515e+04,-1.03,0.997,60.3
78,8.5763e-01,9.5170e+04,-2.68,0.997,71.6
79,4.8468e-01,9.6022e+04,-6.76,0.997,88.9
80,2.5899e-01,1.0254e+05,-13.10,0.997,118.1
81,1.2934e-01,1.2123e+05,-20.65,0.997,168.4
82,5.9543e-02,1.6325e+05,-25.33,0.994,266.5
83,2.4891e-02,2.3940e+05,-21.01,0.987,465.2
84,9.3435e-03,3.1817e+05,-10.07,0.973,894.6
85,3.1623e-03,4.1304e+05,2.63,0.930,1906.9
86,1.0000e-03,7.9560e+05,34.63,0.717,4389.0
