sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  4.000V
Current....:  4.9189uA
Temperature:  0.0+-0.0C
Time.......:  09:21:23 - 09:27:38
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,3.1980e+04,-34.30,0.997,0.0
2,1.3968e+03,2.9410e+04,-36.47,0.998,1.3
3,1.7489e+03,2.6738e+04,-38.39,0.998,1.8
4,2.1897e+03,2.4117e+04,-39.93,0.999,2.3
5,2.7417e+03,2.1565e+04,-41.01,0.998,2.8
6,3.4327e+03,1.9173e+04,-41.51,0.999,3.3
7,4.2980e+03,1.7012e+04,-41.29,0.999,3.8
8,5.3813e+03,1.5095e+04,-40.51,1.000,4.3
9,6.7377e+03,1.3438e+04,-39.08,1.000,4.8
10,8.4360e+03,1.2041e+04,-37.10,0.999,5.3
11,1.0562e+04,1.0890e+04,-34.63,1.000,5.8
12,1.3225e+04,9.9442e+03,-31.79,0.999,6.3
13,1.6558e+04,9.1829e+03,-28.77,1.000,6.8
14,2.0732e+04,8.5743e+03,-25.65,1.000,7.3
15,2.5957e+04,8.0926e+03,-22.51,1.000,7.8
16,3.2500e+04,7.7097e+03,-19.45,1.000,8.3
17,4.0692e+04,7.4193e+03,-16.50,0.999,8.8
18,5.0948e+04,7.1974e+03,-13.62,1.000,9.3
19,6.3790e+04,7.0443e+03,-10.91,1.000,9.8
20,7.9869e+04,6.9550e+03,-8.38,1.000,10.3
21,1.0000e+05,6.9312e+03,-6.04,1.000,10.7
22,7.9869e+04,6.9628e+03,-8.46,1.000,11.2
23,6.3790e+04,7.0617e+03,-11.14,1.000,11.7
24,5.0948e+04,7.2364e+03,-13.98,1.000,12.2
25,4.0692e+04,7.4862e+03,-17.02,0.997,12.7
26,3.2500e+04,7.8122e+03,-20.15,1.000,13.2
27,2.5957e+04,8.2447e+03,-23.44,1.000,13.7
28,2.0732e+04,8.7983e+03,-26.77,1.000,14.2
29,1.6558e+04,9.5088e+03,-30.05,1.000,14.7
30,1.3225e+04,1.0401e+04,-33.16,1.000,15.2
31,1.0562e+04,1.1514e+04,-36.01,0.999,15.6
32,8.4360e+03,1.2887e+04,-38.42,0.999,16.2
33,6.7377e+03,1.4546e+04,-40.24,0.999,16.6
34,5.3813e+03,1.6515e+04,-41.44,0.999,17.1
35,4.2980e+03,1.8799e+04,-41.94,0.999,17.6
36,3.4327e+03,2.1378e+04,-41.87,0.999,18.1
37,2.7417e+03,2.4232e+04,-41.08,0.999,18.6
38,2.1897e+03,2.7302e+04,-39.78,0.997,19.1
39,1.7489e+03,3.0522e+04,-38.09,0.997,19.6
40,1.3968e+03,3.3811e+04,-36.13,0.997,20.0
41,1.1156e+03,3.7123e+04,-34.02,0.999,20.5
42,8.9104e+02,4.0389e+04,-31.93,0.999,21.0
43,7.1166e+02,4.3590e+04,-29.87,0.996,21.5
44,5.6839e+02,4.6728e+04,-27.93,0.997,22.0
45,4.5397e+02,4.9824e+04,-26.07,0.999,22.5
46,3.6258e+02,5.2779e+04,-24.47,0.996,22.9
47,2.8959e+02,5.5760e+04,-23.05,0.999,23.4
48,2.3129e+02,5.8764e+04,-21.76,0.997,23.9
49,1.8473e+02,6.1727e+04,-20.62,0.997,24.4
50,1.4754e+02,6.4692e+04,-19.64,0.997,24.8
51,1.1784e+02,6.7919e+04,-18.34,0.997,25.7
52,9.4115e+01,7.0917e+04,-17.54,0.998,26.5
53,7.5168e+01,7.4043e+04,-16.69,0.997,27.1
54,5.9720e+01,7.7298e+04,-16.01,0.998,28.5
55,4.7292e+01,8.0638e+04,-15.11,0.998,30.3
56,3.7327e+01,8.3962e+04,-14.00,0.998,31.6
57,2.9364e+01,8.7187e+04,-13.06,0.998,33.1
58,2.3024e+01,9.0427e+04,-11.93,0.998,34.7
59,1.7994e+01,9.3423e+04,-10.71,0.998,36.5
60,1.4016e+01,9.6218e+04,-9.48,0.999,38.6
61,1.0883e+01,9.8698e+04,-8.14,0.999,40.9
62,8.4230e+00,1.0070e+05,-6.80,0.999,43.6
63,6.4987e+00,1.0232e+05,-5.29,0.998,46.7
64,4.9988e+00,1.0320e+05,-4.06,0.998,50.3
65,3.8337e+00,1.0376e+05,-2.91,0.998,54.7
66,2.9318e+00,1.0357e+05,-1.88,0.998,59.8
67,2.2359e+00,1.0276e+05,-1.09,0.998,66.1
68,1.7008e+00,1.0185e+05,-0.78,0.997,75.1
69,1.2907e+00,1.0058e+05,-0.92,0.997,84.7
70,9.7721e-01,9.9400e+04,-1.56,0.997,96.5
71,7.3838e-01,9.8560e+04,-2.79,0.997,111.4
72,5.5689e-01,9.8310e+04,-4.65,0.997,128.8
73,4.1935e-01,9.9012e+04,-7.02,0.997,151.4
74,3.1534e-01,1.0109e+05,-9.94,0.997,178.8
75,2.3687e-01,1.0480e+05,-13.20,0.998,212.6
76,1.7778e-01,1.1053e+05,-16.57,0.998,250.8
77,1.3335e-01,1.1924e+05,-19.77,0.998,297.0
78,1.0000e-01,1.3057e+05,-22.31,0.998,353.5
