sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  0.000V
Current....:  -7.5117nA
Temperature:  0.0+-0.0C
Time.......:  11:17:42 - 11:28:10
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   58
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0609e+03,2.0826e+04,-58.96,0.999,0.0
2,1.4095e+03,1.7104e+04,-54.87,0.999,1.7
3,1.8727e+03,1.4281e+04,-50.22,1.000,2.2
4,2.4880e+03,1.2162e+04,-45.10,1.000,2.7
5,3.3056e+03,1.0593e+04,-39.75,1.000,3.1
6,4.3918e+03,9.4471e+03,-34.30,1.000,3.5
7,5.8350e+03,8.6112e+03,-29.16,1.000,4.0
8,7.7524e+03,8.0049e+03,-24.45,1.000,4.4
9,1.0300e+04,7.5599e+03,-20.27,1.000,4.8
10,1.3685e+04,7.2289e+03,-16.58,1.000,5.3
11,1.8181e+04,6.9777e+03,-13.37,1.000,5.7
12,2.4156e+04,6.7900e+03,-10.52,1.000,6.2
13,3.2093e+04,6.6533e+03,-7.94,1.000,6.7
14,4.2640e+04,6.5657e+03,-5.54,1.000,7.1
15,5.6651e+04,6.5261e+03,-3.29,1.000,7.5
16,7.5267e+04,6.5532e+03,-1.22,1.000,8.0
17,1.0000e+05,6.6457e+03,0.51,1.000,8.4
18,7.5267e+04,6.5507e+03,-1.24,1.000,8.8
19,5.6651e+04,6.5271e+03,-3.29,1.000,9.3
20,4.2640e+04,6.5625e+03,-5.53,1.000,9.7
21,3.2093e+04,6.6481e+03,-7.83,1.000,10.1
22,2.4156e+04,6.7821e+03,-10.42,1.000,10.6
23,1.8181e+04,6.9647e+03,-13.26,1.000,11.0
24,1.3685e+04,7.2098e+03,-16.41,1.000,11.4
25,1.0300e+04,7.5318e+03,-20.05,1.000,11.9
26,7.7524e+03,7.9634e+03,-24.18,1.000,12.3
27,5.8350e+03,8.5491e+03,-28.84,0.999,12.7
28,4.3918e+03,9.3543e+03,-33.94,0.999,13.2
29,3.3056e+03,1.0457e+04,-39.39,0.999,13.6
30,2.4880e+03,1.1969e+04,-44.78,0.999,14.1
31,1.8727e+03,1.4008e+04,-49.98,0.999,14.5
32,1.4095e+03,1.6735e+04,-54.73,0.999,14.9
33,1.0609e+03,2.0335e+04,-58.95,0.999,15.4
34,7.9849e+02,2.5044e+04,-62.62,1.000,15.8
35,6.0100e+02,3.1163e+04,-65.66,1.000,16.2
36,4.5235e+02,3.9096e+04,-68.05,0.999,16.7
37,3.4047e+02,4.9264e+04,-70.18,0.999,17.1
38,2.5626e+02,6.2394e+04,-71.84,0.999,17.6
39,1.9288e+02,7.9387e+04,-72.72,0.999,18.3
40,1.4518e+02,1.0126e+05,-73.82,0.999,19.0
41,1.0927e+02,1.2901e+05,-74.50,0.999,19.5
42,8.2244e+01,1.6492e+05,-75.30,0.998,20.0
43,6.1905e+01,2.1294e+05,-75.14,0.998,20.6
44,4.5924e+01,2.7413e+05,-75.85,0.998,22.0
45,3.3514e+01,3.6211e+05,-75.65,0.999,23.7
46,2.4006e+01,4.8524e+05,-74.67,0.996,25.0
47,1.6831e+01,6.6002e+05,-73.27,0.988,26.6
48,1.1512e+01,9.1876e+05,-71.28,0.996,28.8
49,7.6477e+00,1.2937e+06,-68.13,0.995,31.3
50,4.9079e+00,1.8436e+06,-63.61,0.996,34.1
51,3.0209e+00,2.6447e+06,-56.65,0.997,37.7
52,1.7666e+00,3.7135e+06,-47.23,0.998,44.4
53,9.6928e-01,4.9732e+06,-35.87,0.997,53.1
54,4.9057e-01,6.1617e+06,-24.62,0.995,67.2
55,2.2410e-01,7.2720e+06,-16.09,0.995,97.1
56,9.0216e-02,8.4500e+06,-10.14,0.995,157.0
57,3.1623e-02,9.6182e+06,-5.56,0.991,271.5
58,1.0000e-02,1.0506e+07,-3.20,0.989,526.7
