sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  0.750V
Current....:  39.576nA
Temperature:  0.0+-0.0C
Time.......:  10:17:30 - 10:27:59
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   58
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0609e+03,2.8788e+04,-64.98,0.999,0.0
2,1.4095e+03,2.3052e+04,-61.76,0.999,1.7
3,1.8727e+03,1.8680e+04,-57.77,0.999,2.2
4,2.4880e+03,1.5386e+04,-53.00,0.999,2.7
5,3.3056e+03,1.2942e+04,-47.64,0.999,3.1
6,4.3918e+03,1.1161e+04,-41.78,0.999,3.5
7,5.8350e+03,9.8792e+03,-35.93,1.000,4.0
8,7.7524e+03,8.9693e+03,-30.30,1.000,4.4
9,1.0300e+04,8.3231e+03,-25.16,1.000,4.9
10,1.3685e+04,7.8615e+03,-20.57,1.000,5.3
11,1.8181e+04,7.5266e+03,-16.62,1.000,5.8
12,2.4156e+04,7.2848e+03,-13.14,1.000,6.2
13,3.2093e+04,7.1163e+03,-10.09,1.000,6.7
14,4.2640e+04,7.0017e+03,-7.37,1.000,7.1
15,5.6651e+04,6.9411e+03,-4.93,1.000,7.5
16,7.5267e+04,6.9467e+03,-2.76,1.000,8.0
17,1.0000e+05,7.0218e+03,-0.95,1.000,8.4
18,7.5267e+04,6.9490e+03,-2.77,1.000,8.8
19,5.6651e+04,6.9384e+03,-4.91,1.000,9.3
20,4.2640e+04,6.9942e+03,-7.34,1.000,9.7
21,3.2093e+04,7.1067e+03,-10.00,1.000,10.1
22,2.4156e+04,7.2745e+03,-13.04,1.000,10.6
23,1.8181e+04,7.5098e+03,-16.49,1.000,11.0
24,1.3685e+04,7.8383e+03,-20.40,1.000,11.5
25,1.0300e+04,8.2879e+03,-24.93,1.000,11.9
26,7.7524e+03,8.9162e+03,-30.00,0.999,12.3
27,5.8350e+03,9.7993e+03,-35.59,0.999,12.7
28,4.3918e+03,1.1043e+04,-41.41,1.000,13.2
29,3.3056e+03,1.2767e+04,-47.27,1.000,13.6
30,2.4880e+03,1.5134e+04,-52.66,1.000,14.1
31,1.8727e+03,1.8322e+04,-57.47,1.000,14.5
32,1.4095e+03,2.2555e+04,-61.54,1.000,14.9
33,1.0609e+03,2.8110e+04,-64.85,0.999,15.4
34,7.9849e+02,3.5321e+04,-67.50,0.999,15.8
35,6.0100e+02,4.4634e+04,-69.45,0.999,16.2
36,4.5235e+02,5.6552e+04,-70.86,0.998,16.7
37,3.4047e+02,7.1788e+04,-70.97,1.000,17.4
38,2.5626e+02,9.1306e+04,-71.86,1.000,18.1
39,1.9288e+02,1.1604e+05,-72.16,0.999,18.6
40,1.4518e+02,1.4713e+05,-72.18,1.000,19.0
41,1.0927e+02,1.8724e+05,-71.75,1.000,19.5
42,8.2244e+01,2.3560e+05,-71.24,1.000,20.0
43,6.1905e+01,3.0108e+05,-70.73,0.999,20.6
44,4.5924e+01,3.8116e+05,-69.41,1.000,22.0
45,3.3514e+01,4.8739e+05,-67.73,0.997,23.7
46,2.4006e+01,6.2691e+05,-66.24,0.993,25.0
47,1.6831e+01,8.1976e+05,-63.55,0.987,27.0
48,1.1512e+01,1.0714e+06,-61.05,0.996,29.1
49,7.6477e+00,1.4139e+06,-57.94,0.997,31.3
50,4.9079e+00,1.8830e+06,-54.47,0.999,34.1
51,3.0209e+00,2.5155e+06,-50.28,0.999,37.7
52,1.7666e+00,3.3764e+06,-45.52,0.999,44.3
53,9.6928e-01,4.5656e+06,-40.24,0.999,53.0
54,4.9057e-01,6.1650e+06,-34.12,0.999,67.1
55,2.2410e-01,8.3315e+06,-27.29,0.998,97.0
56,9.0216e-02,1.0982e+07,-19.14,0.997,156.9
57,3.1623e-02,1.3307e+07,-10.25,0.998,271.5
58,1.0000e-02,1.5124e+07,-5.85,0.997,526.6
