sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  1.500V
Current....:  104.46nA
Temperature:  0.0+-0.0C
Time.......:  09:07:30 - 09:13:47
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.4849e+04,-52.33,1.000,0.0
2,1.3968e+03,1.3018e+04,-47.93,1.000,1.8
3,1.7489e+03,1.1592e+04,-43.41,0.999,2.3
4,2.1897e+03,1.0488e+04,-38.89,0.999,2.8
5,2.7417e+03,9.6323e+03,-34.53,0.999,3.3
6,3.4327e+03,8.9679e+03,-30.45,1.000,3.8
7,4.2980e+03,8.4513e+03,-26.61,1.000,4.3
8,5.3813e+03,8.0410e+03,-23.21,1.000,4.8
9,6.7377e+03,7.7128e+03,-20.19,0.999,5.3
10,8.4360e+03,7.4448e+03,-17.52,1.000,5.8
11,1.0562e+04,7.2228e+03,-15.14,1.000,6.3
12,1.3225e+04,7.0367e+03,-13.01,1.000,6.7
13,1.6558e+04,6.8791e+03,-11.10,1.000,7.2
14,2.0732e+04,6.7458e+03,-9.35,1.000,7.7
15,2.5957e+04,6.6360e+03,-7.68,1.000,8.2
16,3.2500e+04,6.5511e+03,-6.04,1.000,8.7
17,4.0692e+04,6.4828e+03,-4.53,1.000,9.2
18,5.0948e+04,6.4505e+03,-3.04,1.000,9.7
19,6.3790e+04,6.4448e+03,-1.55,1.000,10.2
20,7.9869e+04,6.4766e+03,-0.15,1.000,10.7
21,1.0000e+05,6.5557e+03,1.08,1.000,11.2
22,7.9869e+04,6.4808e+03,-0.16,1.000,11.7
23,6.3790e+04,6.4458e+03,-1.54,1.000,12.2
24,5.0948e+04,6.4498e+03,-3.04,1.000,12.7
25,4.0692e+04,6.4841e+03,-4.56,1.000,13.1
26,3.2500e+04,6.5519e+03,-6.09,1.000,13.6
27,2.5957e+04,6.6359e+03,-7.69,1.000,14.1
28,2.0732e+04,6.7458e+03,-9.35,1.000,14.6
29,1.6558e+04,6.8785e+03,-11.11,1.000,15.1
30,1.3225e+04,7.0367e+03,-13.03,1.000,15.6
31,1.0562e+04,7.2229e+03,-15.16,1.000,16.1
32,8.4360e+03,7.4453e+03,-17.55,1.000,16.6
33,6.7377e+03,7.7143e+03,-20.23,1.000,17.1
34,5.3813e+03,8.0441e+03,-23.27,1.000,17.5
35,4.2980e+03,8.4560e+03,-26.68,1.000,18.0
36,3.4327e+03,8.9752e+03,-30.53,1.000,18.5
37,2.7417e+03,9.6436e+03,-34.63,1.000,19.0
38,2.1897e+03,1.0506e+04,-38.99,0.999,19.5
39,1.7489e+03,1.1620e+04,-43.53,0.999,20.0
40,1.3968e+03,1.3056e+04,-48.04,0.999,20.5
41,1.1156e+03,1.4900e+04,-52.43,1.000,21.0
42,8.9104e+02,1.7251e+04,-56.59,0.999,21.4
43,7.1166e+02,2.0231e+04,-60.34,0.999,21.9
44,5.6839e+02,2.3979e+04,-63.67,0.999,22.4
45,4.5397e+02,2.8667e+04,-66.46,0.999,22.9
46,3.6258e+02,3.4493e+04,-68.92,1.000,23.4
47,2.8959e+02,4.1700e+04,-70.99,0.999,23.9
48,2.3129e+02,5.0607e+04,-72.63,1.000,24.4
49,1.8473e+02,6.1605e+04,-74.00,1.000,24.9
50,1.4754e+02,7.5219e+04,-74.63,1.000,25.6
51,1.1784e+02,9.1668e+04,-75.47,1.000,26.4
52,9.4115e+01,1.1209e+05,-76.05,1.000,27.0
53,7.5168e+01,1.3680e+05,-76.45,1.000,27.6
54,5.9720e+01,1.6827e+05,-76.68,1.000,29.0
55,4.7292e+01,2.0587e+05,-76.36,1.000,30.9
56,3.7327e+01,2.5511e+05,-76.32,0.999,32.2
57,2.9364e+01,3.1354e+05,-75.75,0.999,33.7
58,2.3024e+01,3.8822e+05,-75.14,0.999,35.3
59,1.7994e+01,4.8083e+05,-74.28,0.999,37.2
60,1.4016e+01,5.9462e+05,-73.19,1.000,39.2
61,1.0883e+01,7.3600e+05,-71.51,0.999,42.0
62,8.4230e+00,9.0927e+05,-69.90,0.999,45.2
63,6.4987e+00,1.1201e+06,-67.92,0.998,48.3
64,4.9988e+00,1.3756e+06,-65.75,0.999,52.0
65,3.8337e+00,1.6797e+06,-63.29,0.999,56.3
66,2.9318e+00,2.0347e+06,-60.51,0.999,61.5
67,2.2359e+00,2.4474e+06,-57.51,0.999,67.8
68,1.7008e+00,2.9149e+06,-54.37,0.998,76.8
69,1.2907e+00,3.4448e+06,-51.03,0.999,86.5
70,9.7721e-01,4.0312e+06,-47.70,0.998,98.2
71,7.3838e-01,4.6479e+06,-44.38,0.998,113.1
72,5.5689e-01,5.3430e+06,-41.01,0.997,130.6
73,4.1935e-01,6.0538e+06,-37.59,0.998,153.3
74,3.1534e-01,6.7560e+06,-34.19,0.997,180.6
75,2.3687e-01,7.5217e+06,-30.84,0.996,214.4
76,1.7778e-01,8.1848e+06,-27.60,0.997,252.6
77,1.3335e-01,8.9189e+06,-24.36,0.998,298.8
78,1.0000e-01,9.5098e+06,-20.49,0.996,355.3
