sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  0.139V
Current....:  8.3719nA
Temperature:  0.0+-0.0C
Time.......:  08:52:50 - 08:59:08
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.2155e+04,-45.66,1.000,0.0
2,1.3968e+03,1.0920e+04,-41.07,1.000,1.8
3,1.7489e+03,9.9659e+03,-36.58,1.000,2.3
4,2.1897e+03,9.2274e+03,-32.32,1.000,2.8
5,2.7417e+03,8.6528e+03,-28.39,1.000,3.3
6,3.4327e+03,8.2005e+03,-24.84,1.000,3.8
7,4.2980e+03,7.8427e+03,-21.59,1.000,4.3
8,5.3813e+03,7.5515e+03,-18.77,1.000,4.8
9,6.7377e+03,7.3121e+03,-16.28,1.000,5.3
10,8.4360e+03,7.1117e+03,-14.09,1.000,5.8
11,1.0562e+04,6.9426e+03,-12.13,1.000,6.3
12,1.3225e+04,6.7990e+03,-10.36,1.000,6.7
13,1.6558e+04,6.6763e+03,-8.75,1.000,7.2
14,2.0732e+04,6.5755e+03,-7.26,1.000,7.7
15,2.5957e+04,6.4909e+03,-5.83,1.000,8.2
16,3.2500e+04,6.4083e+03,-4.15,1.000,8.7
17,4.0692e+04,6.3836e+03,-3.05,1.000,9.2
18,5.0948e+04,6.3694e+03,-1.72,1.000,9.7
19,6.3790e+04,6.3794e+03,-0.38,1.000,10.2
20,7.9869e+04,6.4270e+03,0.86,1.000,10.7
21,1.0000e+05,6.5217e+03,1.94,1.000,11.2
22,7.9869e+04,6.4314e+03,0.85,1.000,11.6
23,6.3790e+04,6.3811e+03,-0.36,1.000,12.2
24,5.0948e+04,6.3704e+03,-1.70,1.000,12.6
25,4.0692e+04,6.3853e+03,-3.06,1.000,13.1
26,3.2500e+04,6.4568e+03,-4.70,1.000,13.6
27,2.5957e+04,6.4912e+03,-5.83,1.000,14.1
28,2.0732e+04,6.5734e+03,-7.26,1.000,14.6
29,1.6558e+04,6.6771e+03,-8.76,1.000,15.1
30,1.3225e+04,6.7993e+03,-10.37,1.000,15.6
31,1.0562e+04,6.9428e+03,-12.14,1.000,16.1
32,8.4360e+03,7.1120e+03,-14.10,1.000,16.6
33,6.7377e+03,7.3129e+03,-16.30,1.000,17.1
34,5.3813e+03,7.5526e+03,-18.79,1.000,17.5
35,4.2980e+03,7.8449e+03,-21.62,1.000,18.0
36,3.4327e+03,8.2034e+03,-24.89,1.000,18.5
37,2.7417e+03,8.6563e+03,-28.45,0.999,19.0
38,2.1897e+03,9.2330e+03,-32.39,1.000,19.5
39,1.7489e+03,9.9746e+03,-36.68,1.000,20.0
40,1.3968e+03,1.0933e+04,-41.17,0.999,20.5
41,1.1156e+03,1.2173e+04,-45.79,0.999,21.0
42,8.9104e+02,1.3772e+04,-50.41,0.999,21.4
43,7.1166e+02,1.5830e+04,-54.82,0.999,21.9
44,5.6839e+02,1.8454e+04,-58.94,0.999,22.4
45,4.5397e+02,2.1789e+04,-62.59,0.999,22.9
46,3.6258e+02,2.5969e+04,-65.90,0.998,23.4
47,2.8959e+02,3.1202e+04,-68.78,0.999,23.9
48,2.3129e+02,3.7736e+04,-71.22,0.999,24.4
49,1.8473e+02,4.5879e+04,-73.30,0.999,24.9
50,1.4754e+02,5.5953e+04,-75.02,1.000,25.3
51,1.1784e+02,6.8534e+04,-76.07,1.000,26.2
52,9.4115e+01,8.3995e+04,-77.28,1.000,27.0
53,7.5168e+01,1.0302e+05,-78.15,0.999,27.6
54,5.9720e+01,1.2758e+05,-78.96,1.000,29.0
55,4.7292e+01,1.5799e+05,-79.16,1.000,30.9
56,3.7327e+01,1.9641e+05,-79.61,0.999,32.2
57,2.9364e+01,2.4489e+05,-79.46,0.999,33.7
58,2.3024e+01,3.0637e+05,-79.27,0.999,35.3
59,1.7994e+01,3.8367e+05,-78.78,0.999,37.2
60,1.4016e+01,4.8183e+05,-78.08,0.999,39.3
61,1.0883e+01,6.0620e+05,-77.06,0.998,41.6
62,8.4230e+00,7.6132e+05,-75.80,0.999,44.3
63,6.4987e+00,9.5688e+05,-73.97,0.999,47.9
64,4.9988e+00,1.1999e+06,-72.08,0.999,52.1
65,3.8337e+00,1.4992e+06,-69.74,0.999,56.5
66,2.9318e+00,1.8667e+06,-66.97,0.999,61.6
67,2.2359e+00,2.3058e+06,-63.77,0.999,68.0
68,1.7008e+00,2.8209e+06,-60.04,0.998,77.0
69,1.2907e+00,3.4231e+06,-56.01,0.998,86.6
70,9.7721e-01,4.1073e+06,-51.50,0.998,98.4
71,7.3838e-01,4.8354e+06,-46.71,0.998,113.4
72,5.5689e-01,5.6003e+06,-41.56,0.998,130.8
73,4.1935e-01,6.3726e+06,-36.25,0.997,153.4
74,3.1534e-01,7.0863e+06,-30.97,0.997,180.7
75,2.3687e-01,7.7148e+06,-25.90,0.998,214.6
76,1.7778e-01,8.2249e+06,-21.09,0.998,252.8
77,1.3335e-01,8.6324e+06,-17.16,0.998,299.0
78,1.0000e-01,9.0111e+06,-14.00,0.997,355.5
