sep=,
File.......:   - JUL;06.2018
System.....:  
Potential..:  4.000V
Current....:  4.095uA
Temperature:  0.0+-0.0C
Time.......:  09:30:56 - 10:01:08
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   47
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1217e+03,4.0914e+04,-29.86,0.998,0.0
2,1.6307e+03,3.5914e+04,-33.13,0.998,1.3
3,2.3708e+03,3.0835e+04,-36.33,0.999,1.7
4,3.4467e+03,2.5879e+04,-39.04,0.999,2.2
5,5.0109e+03,2.1314e+04,-40.61,0.998,2.6
6,7.2850e+03,1.7361e+04,-40.74,0.999,3.1
7,1.0591e+04,1.4161e+04,-39.14,0.999,3.5
8,1.5397e+04,1.1718e+04,-35.82,1.000,4.0
9,2.2385e+04,9.9497e+03,-31.19,1.000,4.4
10,3.2544e+04,8.7234e+03,-25.69,1.000,4.8
11,4.7313e+04,7.9286e+03,-19.95,1.000,5.2
12,6.8784e+04,7.4536e+03,-14.36,1.000,5.7
13,1.0000e+05,7.2547e+03,-9.35,1.000,6.1
14,6.8784e+04,7.4548e+03,-14.36,1.000,6.5
15,4.7313e+04,7.9274e+03,-19.95,1.000,6.9
16,3.2544e+04,8.7302e+03,-25.75,0.999,7.4
17,2.2385e+04,9.9529e+03,-31.19,1.000,7.8
18,1.5397e+04,1.1727e+04,-35.82,1.000,8.2
19,1.0591e+04,1.4171e+04,-39.14,0.999,8.6
20,7.2850e+03,1.7376e+04,-40.73,1.000,9.1
21,5.0109e+03,2.1333e+04,-40.58,0.999,9.5
22,3.4467e+03,2.5896e+04,-39.01,0.999,9.9
23,2.3708e+03,3.0856e+04,-36.29,0.999,10.3
24,1.6307e+03,3.5931e+04,-33.10,0.998,10.8
25,1.1217e+03,4.0925e+04,-29.82,0.999,11.2
26,7.7155e+02,4.5743e+04,-26.87,0.999,11.6
27,5.3071e+02,5.0430e+04,-24.32,0.999,12.0
28,3.6504e+02,5.5067e+04,-22.11,0.996,12.5
29,2.5109e+02,5.9739e+04,-20.36,0.999,12.9
30,1.7271e+02,6.4505e+04,-18.99,0.998,13.3
31,1.1880e+02,6.9490e+04,-17.37,0.998,14.0
32,8.1715e+01,7.4556e+04,-16.19,0.998,14.7
33,5.5729e+01,7.9878e+04,-15.00,0.998,16.0
34,3.7228e+01,8.5521e+04,-13.35,0.999,17.6
35,2.4293e+01,9.1057e+04,-11.62,0.995,19.0
36,1.5435e+01,9.6151e+04,-9.34,0.999,20.4
37,9.5118e+00,1.0035e+05,-6.96,0.999,22.1
38,5.6581e+00,1.0301e+05,-4.37,0.998,24.4
39,3.2297e+00,1.0348e+05,-2.26,0.998,27.6
40,1.7564e+00,1.0194e+05,-1.37,0.998,33.9
41,9.0190e-01,9.9821e+04,-3.12,0.997,43.2
42,4.3269e-01,1.0091e+05,-8.47,0.997,59.8
43,1.9161e-01,1.1260e+05,-17.13,0.998,90.9
44,7.7413e-02,1.4861e+05,-24.71,0.999,156.9
45,2.8348e-02,2.2386e+05,-22.41,0.996,302.8
46,9.4868e-03,2.9944e+05,-10.37,0.982,644.7
47,3.0000e-03,3.5166e+05,1.10,0.964,1477.2
