sep=,
File.......:  puo2_50eu_gbl_101 - JUL;03.2018

System.....:  PuO2_50Eu_gbl_1
Potential..:  -0.750V
Current....:  -8.508nA
Temperature:  0.0+-0.0C
Time.......:  12:05:25 - 12:11:10
Comment....:



(area/cm^2):  Main
potential..:  -0.75 V
Impedance samples

Lines:   78
Columns: 5

Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
21,1.0000e+05,7.0284e+03,2.93,1.000,11.3
22,7.9869e+04,6.9260e+03,1.52,1.000,11.8
23,6.3790e+04,6.8688e+03,0.01,1.000,12.3
24,5.0948e+04,6.8586e+03,-1.55,1.000,12.7
25,4.0692e+04,6.8850e+03,-3.14,1.000,13.2
26,3.2500e+04,6.9387e+03,-4.77,0.998,13.7
27,2.5957e+04,7.0195e+03,-6.34,1.000,14.2
28,2.0732e+04,7.1260e+03,-7.96,1.000,14.7
29,1.6558e+04,7.2588e+03,-9.65,1.000,15.2
30,1.3225e+04,7.4178e+03,-11.42,1.000,15.7
31,1.0562e+04,7.6081e+03,-13.34,1.000,16.2
32,8.4360e+03,7.8366e+03,-15.41,1.000,16.7
33,6.7377e+03,8.1095e+03,-17.65,1.000,17.2
34,5.3813e+03,8.4374e+03,-20.12,1.000,17.6
35,4.2980e+03,8.8342e+03,-22.80,1.000,18.1
36,3.4327e+03,9.3149e+03,-25.79,1.000,18.6
37,2.7417e+03,9.9082e+03,-28.89,1.000,19.1
38,2.1897e+03,1.0641e+04,-32.18,0.999,19.6
39,1.7489e+03,1.1548e+04,-35.64,1.000,20.1
40,1.3968e+03,1.2676e+04,-39.11,0.999,20.6
41,1.1156e+03,1.4077e+04,-42.58,0.999,21.1
42,8.9104e+02,1.5815e+04,-45.98,0.999,21.5
43,7.1166e+02,1.7966e+04,-49.13,1.000,22.0
44,5.6839e+02,2.0619e+04,-52.00,0.999,22.5
45,4.5397e+02,2.3862e+04,-54.44,1.000,23.0
46,3.6258e+02,2.7827e+04,-56.56,0.999,23.5
47,2.8959e+02,3.2608e+04,-58.32,0.998,24.0
48,2.3129e+02,3.8365e+04,-59.60,1.000,24.5
49,1.8473e+02,4.5183e+04,-60.50,1.000,25.0
50,1.4754e+02,5.3304e+04,-61.08,0.999,25.5
51,1.1784e+02,6.2794e+04,-61.26,0.999,26.0
52,9.4115e+01,7.3929e+04,-61.04,0.999,26.8
53,7.5168e+01,8.6738e+04,-60.88,0.999,27.7
54,5.9720e+01,1.0196e+05,-60.49,0.998,29.1
55,4.7292e+01,1.1947e+05,-60.00,0.998,30.9
56,3.7327e+01,1.3998e+05,-59.75,0.997,32.3
57,2.9364e+01,1.6394e+05,-59.20,0.998,33.7
58,2.3024e+01,1.9177e+05,-58.83,0.997,35.4
59,1.7994e+01,2.2455e+05,-58.51,0.996,37.2
60,1.4016e+01,2.6334e+05,-58.39,0.997,39.3
61,1.0883e+01,3.0926e+05,-58.30,0.996,41.6
62,8.4230e+00,3.6403e+05,-58.36,0.996,44.2
63,6.4987e+00,4.2986e+05,-58.39,0.996,47.3
64,4.9988e+00,5.0917e+05,-58.71,0.996,50.9
65,3.8337e+00,6.0588e+05,-59.02,0.996,55.2
66,2.9318e+00,7.2285e+05,-59.33,0.996,60.3
67,2.2359e+00,8.6744e+05,-59.60,0.996,67.1
68,1.7008e+00,1.0424e+06,-59.81,0.996,76.4
69,1.2907e+00,1.2594e+06,-60.03,0.996,85.7
70,9.7721e-01,1.5286e+06,-60.14,0.996,97.0
71,7.3838e-01,1.8531e+06,-60.13,0.996,110.7
72,5.5689e-01,2.2533e+06,-60.00,0.996,126.7
73,4.1935e-01,2.7383e+06,-59.76,0.995,147.2
74,3.1534e-01,3.3338e+06,-59.40,0.995,171.7
75,2.3687e-01,4.0591e+06,-58.94,0.994,201.9
76,1.7778e-01,4.9404e+06,-58.43,0.993,238.1
77,1.3335e-01,6.0121e+06,-57.70,0.992,280.5
78,1.0000e-01,7.3285e+06,-56.86,0.991,328.2

