sep=,
File.......:  puo2_50eu_gbl_103 - JUL;03.2018
System.....:  PuO2_50Eu_gbl_1
Potential..:  -0.250V
Current....:  -1.6472nA
Temperature:  0.0+-0.0C
Time.......:  12:18:32 - 12:24:50
Comment....:  
              
              
              
(area/cm^2):  Main
potential..:  -0.25 V
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.4852e+04,-47.29,0.999,0.0
2,1.3968e+03,1.3252e+04,-43.27,1.000,1.9
3,1.7489e+03,1.1979e+04,-39.26,0.999,2.4
4,2.1897e+03,1.0966e+04,-35.33,0.999,2.9
5,2.7417e+03,1.0157e+04,-31.60,1.000,3.4
6,3.4327e+03,9.5071e+03,-28.11,1.000,3.9
7,4.2980e+03,8.9862e+03,-24.76,1.000,4.4
8,5.3813e+03,8.5595e+03,-21.78,1.000,4.9
9,6.7377e+03,8.2098e+03,-19.06,1.000,5.4
10,8.4360e+03,7.9212e+03,-16.60,1.000,5.9
11,1.0562e+04,7.6806e+03,-14.34,1.000,6.4
12,1.3225e+04,7.4802e+03,-12.28,1.000,6.8
13,1.6558e+04,7.3122e+03,-10.37,1.000,7.3
14,2.0732e+04,7.1737e+03,-8.60,1.000,7.8
15,2.5957e+04,7.0616e+03,-6.89,1.000,8.3
16,3.2500e+04,6.9755e+03,-5.21,1.000,8.8
17,4.0692e+04,6.9132e+03,-3.59,1.000,9.3
18,5.0948e+04,6.8890e+03,-1.96,1.000,9.8
19,6.3790e+04,6.8916e+03,-0.33,1.000,10.3
20,7.9869e+04,6.9413e+03,1.23,1.000,10.8
21,1.0000e+05,7.0425e+03,2.64,1.000,11.3
22,7.9869e+04,6.9403e+03,1.23,1.000,11.8
23,6.3790e+04,6.8959e+03,-0.34,1.000,12.3
24,5.0948e+04,6.8856e+03,-1.95,1.000,12.8
25,4.0692e+04,6.9145e+03,-3.58,1.000,13.2
26,3.2500e+04,6.9753e+03,-5.25,1.000,13.7
27,2.5957e+04,7.0621e+03,-6.90,1.000,14.2
28,2.0732e+04,7.1744e+03,-8.62,1.000,14.7
29,1.6558e+04,7.3131e+03,-10.40,1.000,15.2
30,1.3225e+04,7.4815e+03,-12.31,1.000,15.7
31,1.0562e+04,7.6831e+03,-14.38,1.000,16.2
32,8.4360e+03,7.9242e+03,-16.65,1.000,16.7
33,6.7377e+03,8.2146e+03,-19.13,1.000,17.2
34,5.3813e+03,8.5659e+03,-21.86,1.000,17.6
35,4.2980e+03,8.9950e+03,-24.87,1.000,18.2
36,3.4327e+03,9.5203e+03,-28.23,1.000,18.6
37,2.7417e+03,1.0175e+04,-31.76,1.000,19.1
38,2.1897e+03,1.0992e+04,-35.52,0.999,19.6
39,1.7489e+03,1.2014e+04,-39.48,0.999,20.1
40,1.3968e+03,1.3305e+04,-43.53,1.000,20.6
41,1.1156e+03,1.4926e+04,-47.57,1.000,21.1
42,8.9104e+02,1.6963e+04,-51.60,0.999,21.6
43,7.1166e+02,1.9523e+04,-55.41,0.999,22.0
44,5.6839e+02,2.2723e+04,-58.98,0.999,22.5
45,4.5397e+02,2.6737e+04,-62.17,0.999,23.0
46,3.6258e+02,3.1700e+04,-65.16,0.999,23.5
47,2.8959e+02,3.7875e+04,-67.83,0.999,24.0
48,2.3129e+02,4.5547e+04,-70.18,0.999,24.5
49,1.8473e+02,5.4989e+04,-72.20,0.999,25.0
50,1.4754e+02,6.6709e+04,-74.04,0.999,25.5
51,1.1784e+02,8.1299e+04,-75.25,1.000,26.3
52,9.4115e+01,9.9194e+04,-76.72,1.000,27.1
53,7.5168e+01,1.2117e+05,-77.86,1.000,27.7
54,5.9720e+01,1.4984e+05,-79.11,1.000,29.1
55,4.7292e+01,1.8545e+05,-79.63,0.999,31.0
56,3.7327e+01,2.2974e+05,-80.64,1.000,32.3
57,2.9364e+01,2.8709e+05,-81.07,0.999,33.8
58,2.3024e+01,3.5949e+05,-81.58,0.999,35.4
59,1.7994e+01,4.5159e+05,-81.99,0.999,37.3
60,1.4016e+01,5.6984e+05,-82.22,1.000,39.3
61,1.0883e+01,7.2141e+05,-82.40,0.999,41.6
62,8.4230e+00,9.1745e+05,-82.30,0.999,44.7
63,6.4987e+00,1.1694e+06,-82.28,0.999,48.4
64,4.9988e+00,1.4962e+06,-82.22,1.000,51.9
65,3.8337e+00,1.9203e+06,-82.09,1.000,56.2
66,2.9318e+00,2.4686e+06,-81.79,1.000,61.4
67,2.2359e+00,3.1831e+06,-81.37,0.999,67.4
68,1.7008e+00,4.1084e+06,-80.73,0.999,75.9
69,1.2907e+00,5.3393e+06,-80.06,0.998,90.2
70,9.7721e-01,6.9543e+06,-79.13,0.998,101.4
71,7.3838e-01,9.0110e+06,-77.81,0.998,122.3
72,5.5689e-01,1.1454e+07,-76.12,0.998,142.3
73,4.1935e-01,1.4821e+07,-74.15,0.998,162.8
74,3.1534e-01,1.9141e+07,-71.65,0.997,187.3
75,2.3687e-01,2.4550e+07,-68.66,0.997,217.6
76,1.7778e-01,3.1281e+07,-65.05,0.996,253.7
77,1.3335e-01,3.9358e+07,-60.87,0.995,296.1
78,1.0000e-01,4.9150e+07,-55.66,0.993,361.6
