sep=,
File.......:  puo2_50eu_gbl_104 - JUL;03.2018

System.....:  PuO2_50Eu_gbl_1
Potential..:  0.000V
Current....:  9.6114pA
Temperature:  0.0+-0.0C
Time.......:  12:25:23 - 12:31:26
Comment....:



(area/cm^2):  Main
potential..:   0.0 V
Impedance samples

Lines:   78
Columns: 5

Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
21,1.0000e+05,7.0315e+03,2.64,1.000,11.3
22,7.9869e+04,6.9298e+03,1.20,1.000,11.8
23,6.3790e+04,6.8842e+03,-0.37,1.000,12.3
24,5.0948e+04,6.8737e+03,-2.03,1.000,12.8
25,4.0692e+04,6.9010e+03,-3.70,1.000,13.2
26,3.2500e+04,6.9648e+03,-5.36,1.000,13.7
27,2.5957e+04,7.0492e+03,-7.05,1.000,14.2
28,2.0732e+04,7.1623e+03,-8.82,1.000,14.7
29,1.6558e+04,7.3028e+03,-10.65,1.000,15.2
30,1.3225e+04,7.4732e+03,-12.62,1.000,15.7
31,1.0562e+04,7.6774e+03,-14.77,1.000,16.2
32,8.4360e+03,7.9231e+03,-17.12,1.000,16.7
33,6.7377e+03,8.2197e+03,-19.69,1.000,17.2
34,5.3813e+03,8.5800e+03,-22.54,1.000,17.6
35,4.2980e+03,9.0216e+03,-25.67,0.999,18.2
36,3.4327e+03,9.5643e+03,-29.18,0.999,18.6
37,2.7417e+03,1.0245e+04,-32.86,0.999,19.1
38,2.1897e+03,1.1098e+04,-36.79,1.000,19.6
39,1.7489e+03,1.2172e+04,-40.94,1.000,20.1
40,1.3968e+03,1.3535e+04,-45.14,0.999,20.6
41,1.1156e+03,1.5259e+04,-49.34,0.999,21.1
42,8.9104e+02,1.7436e+04,-53.49,0.999,21.5
43,7.1166e+02,2.0183e+04,-57.40,0.999,22.0
44,5.6839e+02,2.3637e+04,-61.03,0.999,22.5
45,4.5397e+02,2.7973e+04,-64.28,1.000,23.0
46,3.6258e+02,3.3375e+04,-67.24,0.999,23.5
47,2.8959e+02,4.0124e+04,-69.94,0.998,24.0
48,2.3129e+02,4.8490e+04,-72.22,0.999,24.5
49,1.8473e+02,5.8907e+04,-74.23,0.999,25.0
50,1.4754e+02,7.1953e+04,-75.62,0.999,25.7
51,1.1784e+02,8.8077e+04,-77.17,1.000,26.5
52,9.4115e+01,1.0803e+05,-78.40,0.999,27.1
53,7.5168e+01,1.3288e+05,-79.51,1.000,27.7
54,5.9720e+01,1.6406e+05,-80.38,0.999,29.1
55,4.7292e+01,2.0339e+05,-81.46,1.000,31.0
56,3.7327e+01,2.5485e+05,-81.69,0.999,32.3
57,2.9364e+01,3.1781e+05,-82.35,0.998,33.8
58,2.3024e+01,3.9970e+05,-82.65,0.999,35.4
59,1.7994e+01,5.0442e+05,-82.91,0.999,37.3
60,1.4016e+01,6.3706e+05,-83.08,0.999,39.3
61,1.0883e+01,8.0877e+05,-82.89,0.999,42.1
62,8.4230e+00,1.0288e+06,-82.94,1.000,45.2
63,6.4987e+00,1.3133e+06,-82.77,0.999,48.3
64,4.9988e+00,1.6796e+06,-82.75,1.000,51.9
65,3.8337e+00,2.1559e+06,-82.61,0.999,56.2
66,2.9318e+00,2.7695e+06,-82.34,0.999,61.4
67,2.2359e+00,3.5707e+06,-82.02,1.000,67.4
68,1.7008e+00,4.6044e+06,-81.50,0.999,76.0
69,1.2907e+00,5.9866e+06,-81.12,0.999,90.2
70,9.7721e-01,7.8033e+06,-80.56,0.999,101.4
71,7.3838e-01,9.8999e+06,-79.53,0.999,118.8
72,5.5689e-01,1.3166e+07,-78.78,0.999,138.7
73,4.1935e-01,1.6800e+07,-77.58,0.999,165.0
74,3.1534e-01,2.1877e+07,-76.16,0.998,189.6
75,2.3687e-01,2.8461e+07,-74.41,0.998,219.8
76,1.7778e-01,3.6846e+07,-72.33,0.998,255.9
77,1.3335e-01,4.7614e+07,-69.57,0.997,298.4
78,1.0000e-01,6.1033e+07,-66.75,0.996,346.1

