sep=,
File.......:  puo2_50eu_gbl_106 - JUL;03.2018

System.....:  PuO2_50Eu_gbl_1
Potential..:  0.500V
Current....:  428.74pA
Temperature:  0.0+-0.0C
Time.......:  12:38:33 - 12:44:58
Comment....:



(area/cm^2):  Main
potential..:   0.5 V
Impedance samples

Lines:   78
Columns: 5

Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.5936e+04,-52.18,1.000,0.0
2,1.3968e+03,1.4002e+04,-47.88,1.000,1.9
3,1.7489e+03,1.2481e+04,-43.50,0.999,2.4
4,2.1897e+03,1.1293e+04,-39.12,1.000,2.9
5,2.7417e+03,1.0359e+04,-34.91,0.999,3.4
6,3.4327e+03,9.6246e+03,-30.93,1.000,3.9
7,4.2980e+03,9.0461e+03,-27.13,1.000,4.4
8,5.3813e+03,8.5829e+03,-23.74,1.000,4.9
9,6.7377e+03,8.2095e+03,-20.67,1.000,5.4
10,8.4360e+03,7.9056e+03,-17.90,1.000,5.9
11,1.0562e+04,7.6551e+03,-15.40,1.000,6.4
12,1.3225e+04,7.4488e+03,-13.11,1.000,6.8
13,1.6558e+04,7.2773e+03,-11.04,1.000,7.3
14,2.0732e+04,7.1369e+03,-9.12,1.000,7.8
15,2.5957e+04,7.0240e+03,-7.29,1.000,8.3
16,3.2500e+04,6.9384e+03,-5.50,1.000,8.8
17,4.0692e+04,6.8793e+03,-3.80,0.999,9.3
18,5.0948e+04,6.8543e+03,-2.09,1.000,9.8
19,6.3790e+04,6.8576e+03,-0.44,1.000,10.3
20,7.9869e+04,6.9103e+03,1.18,1.000,10.8
21,1.0000e+05,7.0143e+03,2.65,1.000,11.3
22,7.9869e+04,6.9116e+03,1.17,1.000,11.8
23,6.3790e+04,6.8605e+03,-0.41,1.000,12.3
24,5.0948e+04,6.8506e+03,-2.11,1.000,12.8
25,4.0692e+04,6.8792e+03,-3.80,0.999,13.2
26,3.2500e+04,6.9406e+03,-5.54,1.000,13.7
27,2.5957e+04,7.0255e+03,-7.31,1.000,14.2
28,2.0732e+04,7.1394e+03,-9.15,1.000,14.7
29,1.6558e+04,7.2802e+03,-11.08,1.000,15.2
30,1.3225e+04,7.4527e+03,-13.16,1.000,15.7
31,1.0562e+04,7.6607e+03,-15.45,1.000,16.2
32,8.4360e+03,7.9112e+03,-17.97,1.000,16.7
33,6.7377e+03,8.2180e+03,-20.76,1.000,17.2
34,5.3813e+03,8.5943e+03,-23.86,0.999,17.6
35,4.2980e+03,9.0626e+03,-27.27,1.000,18.2
36,3.4327e+03,9.6476e+03,-31.10,0.999,18.6
37,2.7417e+03,1.0391e+04,-35.11,0.999,19.1
38,2.1897e+03,1.1337e+04,-39.35,0.999,19.6
39,1.7489e+03,1.2542e+04,-43.76,0.999,20.1
40,1.3968e+03,1.4086e+04,-48.17,0.999,20.6
41,1.1156e+03,1.6052e+04,-52.48,0.999,21.1
42,8.9104e+02,1.8545e+04,-56.66,1.000,21.5
43,7.1166e+02,2.1701e+04,-60.50,1.000,22.0
44,5.6839e+02,2.5669e+04,-63.99,0.999,22.5
45,4.5397e+02,3.0649e+04,-67.03,1.000,23.0
46,3.6258e+02,3.6865e+04,-69.77,0.999,23.5
47,2.8959e+02,4.4613e+04,-72.15,0.999,24.0
48,2.3129e+02,5.4217e+04,-74.16,1.000,24.5
49,1.8473e+02,6.6165e+04,-75.89,1.000,25.0
50,1.4754e+02,8.1139e+04,-77.06,1.000,25.7
51,1.1784e+02,9.9590e+04,-78.39,1.000,26.5
52,9.4115e+01,1.2242e+05,-79.37,1.000,27.1
53,7.5168e+01,1.5088e+05,-80.24,1.000,27.7
54,5.9720e+01,1.8671e+05,-80.98,1.000,29.1
55,4.7292e+01,2.3109e+05,-81.86,1.000,31.0
56,3.7327e+01,2.9068e+05,-82.03,0.999,32.3
57,2.9364e+01,3.6201e+05,-82.50,0.998,33.8
58,2.3024e+01,4.5545e+05,-82.69,0.998,35.4
59,1.7994e+01,5.7502e+05,-82.86,0.999,37.3
60,1.4016e+01,7.2618e+05,-82.92,0.999,39.3
61,1.0883e+01,9.2138e+05,-82.63,0.999,42.1
62,8.4230e+00,1.1713e+06,-82.58,0.999,45.2
63,6.4987e+00,1.4930e+06,-82.40,0.998,48.3
64,4.9988e+00,1.9087e+06,-82.25,0.998,51.9
65,3.8337e+00,2.4414e+06,-81.99,0.999,56.2
66,2.9318e+00,3.1409e+06,-81.74,0.999,61.3
67,2.2359e+00,4.0394e+06,-81.44,0.998,67.4
68,1.7008e+00,5.1993e+06,-81.04,0.998,76.0
69,1.2907e+00,6.7425e+06,-80.67,0.998,85.3
70,9.7721e-01,8.7490e+06,-80.29,0.998,96.6
71,7.3838e-01,1.1381e+07,-79.82,0.998,117.5
72,5.5689e-01,1.4472e+07,-79.21,0.998,137.4
73,4.1935e-01,1.9252e+07,-79.02,0.997,163.7
74,3.1534e-01,2.5264e+07,-78.09,0.997,201.5
75,2.3687e-01,3.2235e+07,-77.61,0.997,241.6
76,1.7778e-01,4.1979e+07,-76.78,0.997,277.7
77,1.3335e-01,5.4502e+07,-75.97,0.996,320.2
78,1.0000e-01,7.0905e+07,-75.05,0.997,368.0

