File.......:  puo2_50eu_gbl_108 - JUL;03.2018,,,,,
,,,,,
System.....:  PuO2_50Eu_gbl_1,,,,,
Potential..:  1.000V,,,,,
Current....:  5.4423nA,,,,,
Temperature:  0.0+-0.0C,,,,,
Time.......:  12:52:21 - 12:59:19,,,,,
Comment....:  ,,,,,
              ,,,,,
              ,,,,,
              ,,,,,
(area/cm^2):  Main,,,,,
potential..:   1.0 V,,,,,
Impedance samples,,,,,
,,,,,
Lines:   78,,,,,
Columns: 5,,,,,
,,,,,
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
21,1.00E+05,7.02E+03,2.48,1,11.3
22,7.99E+04,6.92E+03,0.95,1,11.8
23,6.38E+04,6.87E+03,-0.73,1,12.3
24,5.09E+04,6.86E+03,-2.44,1,12.8
25,4.07E+04,6.90E+03,-4.22,0.997,13.2
26,3.25E+04,6.96E+03,-6.02,1,13.7
27,2.60E+04,7.05E+03,-7.87,1,14.2
28,2.07E+04,7.17E+03,-9.82,1,14.7
29,1.66E+04,7.32E+03,-11.88,1,15.2
30,1.32E+04,7.50E+03,-14.12,1,15.7
31,1.06E+04,7.72E+03,-16.6,1,16.2
32,8.44E+03,7.99E+03,-19.34,1,16.7
33,6.74E+03,8.33E+03,-22.39,1,17.2
34,5.38E+03,8.74E+03,-25.77,1,17.6
35,4.30E+03,9.27E+03,-29.48,0.999,18.1
36,3.43E+03,9.93E+03,-33.6,1,18.6
37,2.74E+03,1.08E+04,-37.88,0.999,19.1
38,2.19E+03,1.19E+04,-42.34,1,19.6
39,1.75E+03,1.33E+04,-46.91,0.999,20.1
40,1.40E+03,1.51E+04,-51.38,1,20.6
41,1.12E+03,1.73E+04,-55.71,0.999,21.1
42,8.91E+02,2.02E+04,-59.81,0.999,21.5
43,7.12E+02,2.39E+04,-63.53,0.999,22
44,5.68E+02,2.85E+04,-66.89,0.999,22.5
45,4.54E+02,3.43E+04,-69.78,0.998,23
46,3.63E+02,4.15E+04,-72.37,0.999,23.5
47,2.90E+02,5.05E+04,-74.67,0.998,24
48,2.31E+02,6.18E+04,-76.55,1,24.5
49,1.85E+02,7.60E+04,-77.78,1,25.2
50,1.48E+02,9.35E+04,-79.29,1,25.9
51,1.18E+02,1.15E+05,-80.53,0.999,26.5
52,9.41E+01,1.42E+05,-81.37,0.999,27.1
53,7.52E+01,1.77E+05,-82.09,0.999,27.7
54,5.97E+01,2.21E+05,-82.79,1,29.1
55,4.73E+01,2.73E+05,-83.34,0.999,31
56,3.73E+01,3.47E+05,-83.38,0.999,32.3
57,2.94E+01,4.34E+05,-83.53,0.997,33.8
58,2.30E+01,5.50E+05,-83.35,0.998,35.4
59,1.80E+01,6.97E+05,-82.9,0.996,37.3
60,1.40E+01,8.86E+05,-82.14,0.998,39.8
61,1.09E+01,1.13E+06,-81.33,0.998,42.5
62,8.42E+00,1.44E+06,-80.24,0.997,45.2
63,6.50E+00,1.83E+06,-78.65,0.997,48.3
64,5.00E+00,2.33E+06,-76.93,0.996,51.9
65,3.83E+00,2.96E+06,-74.79,0.995,56.2
66,2.93E+00,3.74E+06,-72.13,0.995,61.3
67,2.24E+00,4.70E+06,-69.07,0.995,67.4
68,1.70E+00,5.84E+06,-65.59,0.995,75.9
69,1.29E+00,7.19E+06,-61.9,0.993,85.3
70,9.77E-01,8.76E+06,-57.97,0.993,96.6
71,7.38E-01,1.02E+07,-53.77,0.992,113.9
72,5.57E-01,1.21E+07,-49.91,0.992,129.7
73,4.19E-01,1.40E+07,-46.2,0.992,150.3
74,3.15E-01,1.61E+07,-42.76,0.992,174.9
75,2.37E-01,1.88E+07,-39.47,0.993,215
76,1.78E-01,2.08E+07,-36.8,0.992,262.4
77,1.33E-01,2.36E+07,-34.4,0.993,318.1
78,1.00E-01,2.63E+07,-31.36,0.994,401.1
