sep=,
File.......:  puo2_50eu_gbl_109 - JUL;03.2018
System.....:  PuO2_50Eu_gbl_1
Potential..:  1.500V
Current....:  18.59nA
Temperature:  0.0+-0.0C
Time.......:  12:59:53 - 13:05:43
Comment....:  
              
              
              
(area/cm^2):  Main
potential..:   1.5 V
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.5093e+04,-48.46,1.000,0.0
2,1.3968e+03,1.3388e+04,-44.56,1.000,1.9
3,1.7489e+03,1.2029e+04,-40.59,0.999,2.4
4,2.1897e+03,1.0949e+04,-36.60,1.000,2.9
5,2.7417e+03,1.0091e+04,-32.76,1.000,3.4
6,3.4327e+03,9.4084e+03,-29.10,1.000,3.9
7,4.2980e+03,8.8665e+03,-25.57,1.000,4.4
8,5.3813e+03,8.4299e+03,-22.40,0.999,4.9
9,6.7377e+03,8.0772e+03,-19.50,1.000,5.4
10,8.4360e+03,7.7895e+03,-16.88,1.000,5.9
11,1.0562e+04,7.5550e+03,-14.49,1.000,6.4
12,1.3225e+04,7.3639e+03,-12.27,1.000,6.8
13,1.6558e+04,7.2026e+03,-10.31,1.000,7.3
14,2.0732e+04,7.0732e+03,-8.45,1.000,7.8
15,2.5957e+04,6.9700e+03,-6.68,1.000,8.3
16,3.2500e+04,6.8900e+03,-4.98,1.000,8.8
17,4.0692e+04,6.8442e+03,-3.33,0.998,9.3
18,5.0948e+04,6.8209e+03,-1.67,1.000,9.8
19,6.3790e+04,6.8370e+03,-0.07,1.000,10.3
20,7.9869e+04,6.8894e+03,1.49,1.000,10.8
21,1.0000e+05,7.0010e+03,2.93,1.000,11.3
22,7.9869e+04,6.8929e+03,1.49,1.000,11.8
23,6.3790e+04,6.8372e+03,-0.03,1.000,12.3
24,5.0948e+04,6.8246e+03,-1.67,1.000,12.8
25,4.0692e+04,6.8466e+03,-3.33,0.999,13.2
26,3.2500e+04,6.8950e+03,-5.00,1.000,13.7
27,2.5957e+04,6.9731e+03,-6.71,1.000,14.2
28,2.0732e+04,7.0766e+03,-8.49,1.000,14.7
29,1.6558e+04,7.2068e+03,-10.36,1.000,15.2
30,1.3225e+04,7.3671e+03,-12.38,1.000,15.7
31,1.0562e+04,7.5623e+03,-14.57,1.000,16.2
32,8.4360e+03,7.8007e+03,-17.00,1.000,16.7
33,6.7377e+03,8.0923e+03,-19.65,1.000,17.2
34,5.3813e+03,8.4505e+03,-22.59,1.000,17.6
35,4.2980e+03,8.8958e+03,-25.80,1.000,18.2
36,3.4327e+03,9.4492e+03,-29.36,0.999,18.6
37,2.7417e+03,1.0148e+04,-33.06,1.000,19.1
38,2.1897e+03,1.1028e+04,-36.93,0.999,19.6
39,1.7489e+03,1.2137e+04,-40.93,0.999,20.1
40,1.3968e+03,1.3532e+04,-44.90,0.999,20.6
41,1.1156e+03,1.5284e+04,-48.78,1.000,21.1
42,8.9104e+02,1.7470e+04,-52.53,0.998,21.5
43,7.1166e+02,2.0198e+04,-55.97,0.999,22.0
44,5.6839e+02,2.3577e+04,-59.14,0.999,22.5
45,4.5397e+02,2.7743e+04,-61.90,0.999,23.0
46,3.6258e+02,3.2890e+04,-64.41,0.999,23.5
47,2.8959e+02,3.9193e+04,-66.64,0.999,24.0
48,2.3129e+02,4.6925e+04,-68.55,0.999,24.5
49,1.8473e+02,5.6378e+04,-70.26,0.999,25.0
50,1.4754e+02,6.7997e+04,-71.66,0.999,25.5
51,1.1784e+02,8.2263e+04,-72.56,0.999,26.3
52,9.4115e+01,9.9833e+04,-73.66,0.998,27.1
53,7.5168e+01,1.2109e+05,-74.58,0.998,27.7
54,5.9720e+01,1.4837e+05,-75.25,0.999,29.1
55,4.7292e+01,1.8105e+05,-75.63,0.998,31.0
56,3.7327e+01,2.2415e+05,-76.19,0.998,32.3
57,2.9364e+01,2.7594e+05,-76.17,1.000,33.8
58,2.3024e+01,3.4246e+05,-76.19,0.999,35.4
59,1.7994e+01,4.2576e+05,-75.96,0.998,37.3
60,1.4016e+01,5.3048e+05,-75.47,0.998,39.3
61,1.0883e+01,6.6217e+05,-74.77,0.998,41.6
62,8.4230e+00,8.2913e+05,-73.65,0.997,44.7
63,6.4987e+00,1.0376e+06,-72.35,0.996,48.4
64,4.9988e+00,1.2975e+06,-70.69,0.996,51.9
65,3.8337e+00,1.6183e+06,-68.75,0.996,56.2
66,2.9318e+00,2.0158e+06,-66.51,0.995,61.3
67,2.2359e+00,2.5019e+06,-63.63,0.994,67.4
68,1.7008e+00,3.1019e+06,-61.05,0.995,80.4
69,1.2907e+00,3.7986e+06,-57.70,0.995,89.7
70,9.7721e-01,4.6039e+06,-54.22,0.992,101.0
71,7.3838e-01,5.5200e+06,-50.60,0.991,114.8
72,5.5689e-01,6.5504e+06,-46.87,0.990,130.6
73,4.1935e-01,7.7621e+06,-43.58,0.989,151.2
74,3.1534e-01,8.9932e+06,-40.11,0.990,175.7
75,2.3687e-01,1.0385e+07,-37.01,0.990,205.9
76,1.7778e-01,1.1934e+07,-34.64,0.988,242.1
77,1.3335e-01,1.3538e+07,-32.30,0.986,284.5
78,1.0000e-01,1.5495e+07,-28.95,0.995,332.2
