sep=,
File.......:  puo2_50eu_gbl_110 - JUL;03.2018
System.....:  PuO2_50Eu_gbl_1
Potential..:  2.000V
Current....:  36.896nA
Temperature:  0.0+-0.0C
Time.......:  13:06:18 - 13:12:08
Comment....:  
              
              
              
(area/cm^2):  Main
potential..:   2.0 V
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.7346e+04,-53.33,1.000,0.0
2,1.3968e+03,1.5143e+04,-49.48,1.000,1.9
3,1.7489e+03,1.3394e+04,-45.44,0.999,2.4
4,2.1897e+03,1.2011e+04,-41.26,1.000,2.9
5,2.7417e+03,1.0919e+04,-37.13,1.000,3.4
6,3.4327e+03,1.0059e+04,-33.12,1.000,3.9
7,4.2980e+03,9.3843e+03,-29.21,1.000,4.4
8,5.3813e+03,8.8470e+03,-25.65,1.000,4.9
9,6.7377e+03,8.4194e+03,-22.39,1.000,5.4
10,8.4360e+03,8.0744e+03,-19.43,1.000,5.9
11,1.0562e+04,7.7938e+03,-16.74,1.000,6.4
12,1.3225e+04,7.5652e+03,-14.31,1.000,6.8
13,1.6558e+04,7.3759e+03,-12.08,1.000,7.3
14,2.0732e+04,7.2204e+03,-10.04,1.000,7.8
15,2.5957e+04,7.0960e+03,-8.10,1.000,8.3
16,3.2500e+04,7.0037e+03,-6.26,0.998,8.8
17,4.0692e+04,6.9287e+03,-4.45,0.999,9.3
18,5.0948e+04,6.8996e+03,-2.69,1.000,9.8
19,6.3790e+04,6.8980e+03,-0.95,1.000,10.3
20,7.9869e+04,6.9433e+03,0.73,1.000,10.8
21,1.0000e+05,7.0356e+03,2.24,1.000,11.3
22,7.9869e+04,6.9404e+03,0.72,1.000,11.8
23,6.3790e+04,6.9011e+03,-0.99,1.000,12.3
24,5.0948e+04,6.8995e+03,-2.71,1.000,12.8
25,4.0692e+04,6.9339e+03,-4.50,0.999,13.2
26,3.2500e+04,7.0040e+03,-6.29,1.000,13.7
27,2.5957e+04,7.1019e+03,-8.19,1.000,14.2
28,2.0732e+04,7.2290e+03,-10.15,1.000,14.7
29,1.6558e+04,7.3879e+03,-12.25,1.000,15.2
30,1.3225e+04,7.5843e+03,-14.50,1.000,15.7
31,1.0562e+04,7.8167e+03,-16.99,1.000,16.2
32,8.4360e+03,8.1058e+03,-19.74,1.000,16.7
33,6.7377e+03,8.4620e+03,-22.77,1.000,17.2
34,5.3813e+03,8.9057e+03,-26.12,1.000,17.6
35,4.2980e+03,9.4647e+03,-29.76,1.000,18.2
36,3.4327e+03,1.0169e+04,-33.77,1.000,18.6
37,2.7417e+03,1.1070e+04,-37.86,0.999,19.1
38,2.1897e+03,1.2217e+04,-42.08,1.000,19.6
39,1.7489e+03,1.3674e+04,-46.32,0.999,20.1
40,1.3968e+03,1.5522e+04,-50.44,0.999,20.6
41,1.1156e+03,1.7856e+04,-54.34,0.999,21.1
42,8.9104e+02,2.0782e+04,-57.98,0.999,21.6
43,7.1166e+02,2.4440e+04,-61.24,1.000,22.0
44,5.6839e+02,2.8994e+04,-64.11,1.000,22.5
45,4.5397e+02,3.4632e+04,-66.51,0.999,23.0
46,3.6258e+02,4.1632e+04,-68.68,1.000,23.5
47,2.8959e+02,5.0250e+04,-70.47,0.999,24.0
48,2.3129e+02,6.0842e+04,-71.89,0.999,24.5
49,1.8473e+02,7.4034e+04,-72.70,0.999,25.2
50,1.4754e+02,9.0179e+04,-73.62,0.999,25.9
51,1.1784e+02,1.0993e+05,-74.33,0.999,26.5
52,9.4115e+01,1.3455e+05,-74.62,0.999,27.1
53,7.5168e+01,1.6452e+05,-74.81,0.998,27.7
54,5.9720e+01,2.0210e+05,-74.94,0.998,29.1
55,4.7292e+01,2.5057e+05,-74.02,0.997,31.0
56,3.7327e+01,3.0715e+05,-73.41,0.996,32.3
57,2.9364e+01,3.8239e+05,-72.03,0.996,33.8
58,2.3024e+01,4.7227e+05,-70.22,0.996,35.4
59,1.7994e+01,5.8252e+05,-67.90,0.993,37.3
60,1.4016e+01,7.1826e+05,-65.13,0.993,39.3
61,1.0883e+01,8.8077e+05,-61.60,0.991,42.1
62,8.4230e+00,1.0676e+06,-57.67,0.990,45.2
63,6.4987e+00,1.2820e+06,-53.18,0.989,48.3
64,4.9988e+00,1.5108e+06,-48.44,0.987,51.9
65,3.8337e+00,1.7594e+06,-43.65,0.984,56.1
66,2.9318e+00,2.0107e+06,-38.83,0.984,61.3
67,2.2359e+00,2.2633e+06,-34.15,0.983,67.3
68,1.7008e+00,2.5231e+06,-30.22,0.984,75.9
69,1.2907e+00,2.8312e+06,-26.92,0.982,90.1
70,9.7721e-01,3.1314e+06,-23.82,0.981,101.3
71,7.3838e-01,3.4287e+06,-22.09,0.980,115.1
72,5.5689e-01,3.7227e+06,-19.43,0.981,130.9
73,4.1935e-01,4.0771e+06,-17.65,0.984,151.4
74,3.1534e-01,4.4709e+06,-16.31,0.983,176.0
75,2.3687e-01,4.9153e+06,-15.20,0.983,206.1
76,1.7778e-01,5.4131e+06,-14.39,0.983,242.3
77,1.3335e-01,5.9676e+06,-13.63,0.982,284.7
78,1.0000e-01,6.6044e+06,-12.60,0.985,332.5
