sep=,
File.......:  puo2_50eu_gbl_111 - JUL;03.2018

System.....:  PuO2_50Eu_gbl_1
Potential..:  2.500V
Current....:  169.33nA
Temperature:  0.0+-0.0C
Time.......:  13:12:44 - 13:18:29
Comment....:



(area/cm^2):  Main
potential..:   2.5 V
Impedance samples

Lines:   78
Columns: 5

Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
21,1.0000e+05,7.0775e+03,1.54,1.000,11.3
22,7.9869e+04,6.9903e+03,-0.11,1.000,11.8
23,6.3790e+04,6.9573e+03,-1.89,1.000,12.3
24,5.0948e+04,6.9707e+03,-3.78,1.000,12.8
25,4.0692e+04,7.0218e+03,-5.76,0.999,13.3
26,3.2500e+04,7.1109e+03,-7.72,0.999,13.8
27,2.5957e+04,7.2277e+03,-9.81,1.000,14.3
28,2.0732e+04,7.3831e+03,-12.00,1.000,14.8
29,1.6558e+04,7.5760e+03,-14.34,1.000,15.3
30,1.3225e+04,7.8116e+03,-16.88,1.000,15.8
31,1.0562e+04,8.1017e+03,-19.67,1.000,16.2
32,8.4360e+03,8.4590e+03,-22.74,1.000,16.8
33,6.7377e+03,8.9044e+03,-26.08,1.000,17.2
34,5.3813e+03,9.4630e+03,-29.74,1.000,17.7
35,4.2980e+03,1.0170e+04,-33.64,1.000,18.2
36,3.4327e+03,1.1063e+04,-37.85,1.000,18.7
37,2.7417e+03,1.2206e+04,-42.07,0.999,19.2
38,2.1897e+03,1.3660e+04,-46.31,1.000,19.7
39,1.7489e+03,1.5504e+04,-50.46,0.999,20.2
40,1.3968e+03,1.7843e+04,-54.40,1.000,20.6
41,1.1156e+03,2.0798e+04,-58.03,1.000,21.1
42,8.9104e+02,2.4504e+04,-61.33,0.999,21.6
43,7.1166e+02,2.9149e+04,-64.14,1.000,22.1
44,5.6839e+02,3.4954e+04,-66.50,0.998,22.6
45,4.5397e+02,4.2173e+04,-68.30,0.999,23.1
46,3.6258e+02,5.1165e+04,-69.71,0.999,23.6
47,2.8959e+02,6.2265e+04,-70.61,0.999,24.1
48,2.3129e+02,7.6112e+04,-70.52,0.998,24.8
49,1.8473e+02,9.3035e+04,-70.42,0.997,25.5
50,1.4754e+02,1.1358e+05,-69.90,0.997,26.1
51,1.1784e+02,1.3864e+05,-68.59,0.996,26.6
52,9.4115e+01,1.6822e+05,-66.63,0.995,27.2
53,7.5168e+01,2.0333e+05,-63.98,0.995,27.8
54,5.9720e+01,2.4451e+05,-61.25,0.993,29.3
55,4.7292e+01,2.9274e+05,-57.44,0.992,31.0
56,3.7327e+01,3.4444e+05,-52.17,0.991,32.4
57,2.9364e+01,3.9938e+05,-47.26,0.987,33.9
58,2.3024e+01,4.5208e+05,-41.66,0.987,35.5
59,1.7994e+01,5.0162e+05,-36.07,0.985,37.4
60,1.4016e+01,5.4764e+05,-30.98,0.986,39.4
61,1.0883e+01,5.8711e+05,-26.28,0.985,41.7
62,8.4230e+00,6.2076e+05,-22.35,0.984,44.3
63,6.4987e+00,6.5535e+05,-19.01,0.986,47.4
64,4.9988e+00,6.8688e+05,-15.63,0.983,51.0
65,3.8337e+00,7.1575e+05,-13.76,0.984,55.2
66,2.9318e+00,7.5218e+05,-11.73,0.985,61.0
67,2.2359e+00,7.7621e+05,-10.19,0.984,67.8
68,1.7008e+00,8.0559e+05,-9.19,0.986,76.3
69,1.2907e+00,8.3731e+05,-8.18,0.985,85.6
70,9.7721e-01,8.6927e+05,-7.57,0.985,96.9
71,7.3838e-01,9.0066e+05,-7.23,0.986,110.6
72,5.5689e-01,9.4928e+05,-6.42,0.985,126.5
73,4.1935e-01,1.0034e+06,-6.11,0.988,147.1
74,3.1534e-01,1.0707e+06,-6.38,0.985,171.6
75,2.3687e-01,1.1756e+06,-5.97,0.988,201.8
76,1.7778e-01,1.1912e+06,-6.25,0.986,237.9
77,1.3335e-01,1.2447e+06,-5.56,0.986,280.3
78,1.0000e-01,1.3292e+06,-5.07,0.987,328.0

