sep=,
File.......:  puo2_50eu_gbl_100 - JUL;03.2018
System.....:  PuO2_50Eu_gbl_1
Potential..:  -1.000V
Current....:  -19.72nA
Temperature:  0.0+-0.0C
Time.......:  11:59:07 - 12:04:52
Comment....:  
              
              
              
(area/cm^2):  Main
potential..:  -1.0 V
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.5791e+04,-51.36,0.999,0.0
2,1.3968e+03,1.3838e+04,-47.32,0.999,1.8
3,1.7489e+03,1.2300e+04,-43.10,0.999,2.3
4,2.1897e+03,1.1092e+04,-38.77,1.000,2.8
5,2.7417e+03,1.0152e+04,-34.54,0.999,3.3
6,3.4327e+03,9.4198e+03,-30.49,1.000,3.8
7,4.2980e+03,8.8521e+03,-26.59,1.000,4.3
8,5.3813e+03,8.4054e+03,-23.10,1.000,4.8
9,6.7377e+03,8.0526e+03,-19.95,1.000,5.3
10,8.4360e+03,7.7704e+03,-17.13,1.000,5.8
11,1.0562e+04,7.5431e+03,-14.60,1.000,6.3
12,1.3225e+04,7.3569e+03,-12.33,1.000,6.7
13,1.6558e+04,7.2048e+03,-10.28,1.000,7.2
14,2.0732e+04,7.0806e+03,-8.39,1.000,7.7
15,2.5957e+04,6.9820e+03,-6.62,1.000,8.2
16,3.2500e+04,6.9067e+03,-4.90,0.998,8.7
17,4.0692e+04,6.8575e+03,-3.27,1.000,9.2
18,5.0948e+04,6.8413e+03,-1.61,1.000,9.7
19,6.3790e+04,6.8533e+03,-0.01,1.000,10.2
20,7.9869e+04,6.9114e+03,1.55,1.000,10.7
21,1.0000e+05,7.0173e+03,2.94,1.000,11.2
22,7.9869e+04,6.9109e+03,1.54,1.000,11.7
23,6.3790e+04,6.8576e+03,-0.00,1.000,12.2
24,5.0948e+04,6.8410e+03,-1.62,1.000,12.7
25,4.0692e+04,6.8588e+03,-3.26,1.000,13.1
26,3.2500e+04,6.9105e+03,-4.88,1.000,13.6
27,2.5957e+04,6.9826e+03,-6.56,1.000,14.1
28,2.0732e+04,7.0811e+03,-8.32,1.000,14.6
29,1.6558e+04,7.2051e+03,-10.16,1.000,15.1
30,1.3225e+04,7.3563e+03,-12.15,1.000,15.6
31,1.0562e+04,7.5398e+03,-14.36,1.000,16.1
32,8.4360e+03,7.7646e+03,-16.79,1.000,16.6
33,6.7377e+03,8.0407e+03,-19.49,1.000,17.1
34,5.3813e+03,8.3828e+03,-22.51,1.000,17.5
35,4.2980e+03,8.8126e+03,-25.83,0.999,18.1
36,3.4327e+03,9.3526e+03,-29.54,1.000,18.5
37,2.7417e+03,1.0043e+04,-33.38,0.999,19.0
38,2.1897e+03,1.0920e+04,-37.41,0.999,19.5
39,1.7489e+03,1.2036e+04,-41.53,0.999,20.0
40,1.3968e+03,1.3446e+04,-45.61,1.000,20.5
41,1.1156e+03,1.5223e+04,-49.55,0.999,21.0
42,8.9104e+02,1.7443e+04,-53.31,1.000,21.4
43,7.1166e+02,2.0207e+04,-56.72,1.000,21.9
44,5.6839e+02,2.3631e+04,-59.82,0.999,22.4
45,4.5397e+02,2.7846e+04,-62.50,0.998,22.9
46,3.6258e+02,3.3041e+04,-64.90,0.999,23.4
47,2.8959e+02,3.9381e+04,-67.03,0.998,23.9
48,2.3129e+02,4.7152e+04,-68.79,0.998,24.4
49,1.8473e+02,5.6697e+04,-70.29,0.998,24.9
50,1.4754e+02,6.8270e+04,-71.52,0.998,25.3
51,1.1784e+02,8.2442e+04,-72.19,0.998,26.2
52,9.4115e+01,9.9671e+04,-73.07,0.999,27.0
53,7.5168e+01,1.2049e+05,-73.64,0.999,27.6
54,5.9720e+01,1.4657e+05,-74.13,0.999,29.0
55,4.7292e+01,1.7760e+05,-74.02,0.998,30.9
56,3.7327e+01,2.1794e+05,-74.27,0.998,32.2
57,2.9364e+01,2.6532e+05,-73.89,0.999,33.7
58,2.3024e+01,3.2529e+05,-73.51,0.998,35.3
59,1.7994e+01,3.9870e+05,-72.92,0.997,37.2
60,1.4016e+01,4.8807e+05,-72.11,0.996,39.3
61,1.0883e+01,5.9729e+05,-71.09,0.995,41.5
62,8.4230e+00,7.2981e+05,-69.94,0.995,44.2
63,6.4987e+00,8.8859e+05,-68.45,0.993,47.9
64,4.9988e+00,1.0808e+06,-67.14,0.992,52.0
65,3.8337e+00,1.3095e+06,-65.73,0.991,56.2
66,2.9318e+00,1.5802e+06,-64.25,0.990,61.3
67,2.2359e+00,1.9000e+06,-62.77,0.989,67.5
68,1.7008e+00,2.2732e+06,-61.29,0.988,76.0
69,1.2907e+00,2.7156e+06,-59.91,0.987,85.3
70,9.7721e-01,3.2425e+06,-58.63,0.986,96.6
71,7.3838e-01,3.8554e+06,-57.49,0.986,110.4
72,5.5689e-01,4.5642e+06,-56.24,0.984,126.2
73,4.1935e-01,5.4032e+06,-55.13,0.984,146.7
74,3.1534e-01,6.3932e+06,-53.91,0.984,171.3
75,2.3687e-01,7.5810e+06,-52.78,0.983,201.4
76,1.7778e-01,8.9796e+06,-51.47,0.983,237.6
77,1.3335e-01,1.0631e+07,-49.90,0.982,280.0
78,1.0000e-01,1.2510e+07,-48.13,0.982,327.8
