sep=,
File.......:  puo2_50eu_gbl_108 - JUL;03.2018
System.....:  PuO2_50Eu_gbl_1
Potential..:  1.000V
Current....:  5.4423nA
Temperature:  0.0+-0.0C
Time.......:  12:52:21 - 12:59:19
Comment....:  
              
              
              
(area/cm^2):  Main
potential..:   1.0 V
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,1.7182e+04,-55.48,1.000,0.0
2,1.3968e+03,1.4939e+04,-51.16,1.000,1.9
3,1.7489e+03,1.3180e+04,-46.69,0.999,2.4
4,2.1897e+03,1.1806e+04,-42.13,1.000,2.9
5,2.7417e+03,1.0732e+04,-37.68,0.999,3.4
6,3.4327e+03,9.8937e+03,-33.43,0.999,3.9
7,4.2980e+03,9.2404e+03,-29.33,0.999,4.4
8,5.3813e+03,8.7228e+03,-25.63,0.999,4.9
9,6.7377e+03,8.3119e+03,-22.28,1.000,5.4
10,8.4360e+03,7.9812e+03,-19.25,1.000,5.9
11,1.0562e+04,7.7144e+03,-16.53,1.000,6.4
12,1.3225e+04,7.4943e+03,-14.06,1.000,6.8
13,1.6558e+04,7.3144e+03,-11.83,1.000,7.3
14,2.0732e+04,7.1674e+03,-9.78,1.000,7.8
15,2.5957e+04,7.0485e+03,-7.84,1.000,8.3
16,3.2500e+04,6.9557e+03,-6.00,1.000,8.8
17,4.0692e+04,6.8970e+03,-4.19,0.999,9.3
18,5.0948e+04,6.8634e+03,-2.42,1.000,9.8
19,6.3790e+04,6.8713e+03,-0.71,1.000,10.3
20,7.9869e+04,6.9187e+03,0.93,1.000,10.8
21,1.0000e+05,7.0214e+03,2.48,1.000,11.3
22,7.9869e+04,6.9191e+03,0.95,1.000,11.8
23,6.3790e+04,6.8681e+03,-0.73,1.000,12.3
24,5.0948e+04,6.8646e+03,-2.44,1.000,12.8
25,4.0692e+04,6.8976e+03,-4.22,0.997,13.2
26,3.2500e+04,6.9583e+03,-6.02,1.000,13.7
27,2.5957e+04,7.0506e+03,-7.87,1.000,14.2
28,2.0732e+04,7.1699e+03,-9.82,1.000,14.7
29,1.6558e+04,7.3186e+03,-11.88,1.000,15.2
30,1.3225e+04,7.5012e+03,-14.12,1.000,15.7
31,1.0562e+04,7.7211e+03,-16.60,1.000,16.2
32,8.4360e+03,7.9917e+03,-19.34,1.000,16.7
33,6.7377e+03,8.3257e+03,-22.39,1.000,17.2
34,5.3813e+03,8.7414e+03,-25.77,1.000,17.6
35,4.2980e+03,9.2657e+03,-29.48,0.999,18.1
36,3.4327e+03,9.9283e+03,-33.60,1.000,18.6
37,2.7417e+03,1.0779e+04,-37.88,0.999,19.1
38,2.1897e+03,1.1869e+04,-42.34,1.000,19.6
39,1.7489e+03,1.3264e+04,-46.91,0.999,20.1
40,1.3968e+03,1.5051e+04,-51.38,1.000,20.6
41,1.1156e+03,1.7329e+04,-55.71,0.999,21.1
42,8.9104e+02,2.0220e+04,-59.81,0.999,21.5
43,7.1166e+02,2.3876e+04,-63.53,0.999,22.0
44,5.6839e+02,2.8481e+04,-66.89,0.999,22.5
45,4.5397e+02,3.4285e+04,-69.78,0.998,23.0
46,3.6258e+02,4.1486e+04,-72.37,0.999,23.5
47,2.8959e+02,5.0521e+04,-74.67,0.998,24.0
48,2.3129e+02,6.1764e+04,-76.55,1.000,24.5
49,1.8473e+02,7.5959e+04,-77.78,1.000,25.2
50,1.4754e+02,9.3469e+04,-79.29,1.000,25.9
51,1.1784e+02,1.1542e+05,-80.53,0.999,26.5
52,9.4115e+01,1.4243e+05,-81.37,0.999,27.1
53,7.5168e+01,1.7653e+05,-82.09,0.999,27.7
54,5.9720e+01,2.2082e+05,-82.79,1.000,29.1
55,4.7292e+01,2.7349e+05,-83.34,0.999,31.0
56,3.7327e+01,3.4710e+05,-83.38,0.999,32.3
57,2.9364e+01,4.3413e+05,-83.53,0.997,33.8
58,2.3024e+01,5.4994e+05,-83.35,0.998,35.4
59,1.7994e+01,6.9697e+05,-82.90,0.996,37.3
60,1.4016e+01,8.8612e+05,-82.14,0.998,39.8
61,1.0883e+01,1.1277e+06,-81.33,0.998,42.5
62,8.4230e+00,1.4372e+06,-80.24,0.997,45.2
63,6.4987e+00,1.8332e+06,-78.65,0.997,48.3
64,4.9988e+00,2.3311e+06,-76.93,0.996,51.9
65,3.8337e+00,2.9642e+06,-74.79,0.995,56.2
66,2.9318e+00,3.7389e+06,-72.13,0.995,61.3
67,2.2359e+00,4.6959e+06,-69.07,0.995,67.4
68,1.7008e+00,5.8361e+06,-65.59,0.995,75.9
69,1.2907e+00,7.1933e+06,-61.90,0.993,85.3
70,9.7721e-01,8.7585e+06,-57.97,0.993,96.6
71,7.3838e-01,1.0231e+07,-53.77,0.992,113.9
72,5.5689e-01,1.2063e+07,-49.91,0.992,129.7
73,4.1935e-01,1.4037e+07,-46.20,0.992,150.3
74,3.1534e-01,1.6136e+07,-42.76,0.992,174.9
75,2.3687e-01,1.8761e+07,-39.47,0.993,215.0
76,1.7778e-01,2.0765e+07,-36.80,0.992,262.4
77,1.3335e-01,2.3595e+07,-34.40,0.993,318.1
78,1.0000e-01,2.6253e+07,-31.36,0.994,401.1
