sep=,
File.......:  puo2_50eu_gbl_112 - JUL;03.2018
System.....:  PuO2_50Eu_gbl_1
Potential..:  3.000V
Current....:  1.1724uA
Temperature:  0.0+-0.0C
Time.......:  13:19:06 - 13:24:49
Comment....:  
              
              
              
(area/cm^2):  Main
potential..:   3.0 V
Impedance samples
Lines:   78
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.1156e+03,2.1561e+04,-51.59,0.998,0.0
2,1.3968e+03,1.8463e+04,-49.87,0.998,1.7
3,1.7489e+03,1.5963e+04,-47.40,0.998,2.1
4,2.1897e+03,1.3968e+04,-44.33,0.998,2.7
5,2.7417e+03,1.2394e+04,-40.85,1.000,3.2
6,3.4327e+03,1.1160e+04,-37.13,0.999,3.7
7,4.2980e+03,1.0203e+04,-33.22,1.000,4.1
8,5.3813e+03,9.4546e+03,-29.47,1.000,4.6
9,6.7377e+03,8.8710e+03,-25.88,1.000,5.1
10,8.4360e+03,8.4135e+03,-22.55,1.000,5.6
11,1.0562e+04,8.0502e+03,-19.48,1.000,6.1
12,1.3225e+04,7.7607e+03,-16.67,1.000,6.6
13,1.6558e+04,7.5290e+03,-14.10,1.000,7.2
14,2.0732e+04,7.3417e+03,-11.76,1.000,7.7
15,2.5957e+04,7.1933e+03,-9.55,1.000,8.1
16,3.2500e+04,7.0761e+03,-7.47,1.000,8.6
17,4.0692e+04,7.0005e+03,-5.49,0.999,9.1
18,5.0948e+04,6.9524e+03,-3.52,1.000,9.6
19,6.3790e+04,6.9444e+03,-1.66,1.000,10.1
20,7.9869e+04,6.9845e+03,0.12,1.000,10.6
21,1.0000e+05,7.0757e+03,1.74,1.000,11.1
22,7.9869e+04,6.9836e+03,0.11,1.000,11.6
23,6.3790e+04,6.9472e+03,-1.65,1.000,12.1
24,5.0948e+04,6.9524e+03,-3.53,1.000,12.6
25,4.0692e+04,7.0011e+03,-5.47,1.000,13.0
26,3.2500e+04,7.0764e+03,-7.46,0.999,13.5
27,2.5957e+04,7.1920e+03,-9.58,1.000,14.0
28,2.0732e+04,7.3414e+03,-11.79,1.000,14.5
29,1.6558e+04,7.5282e+03,-14.15,1.000,15.0
30,1.3225e+04,7.7622e+03,-16.74,1.000,15.5
31,1.0562e+04,8.0514e+03,-19.57,1.000,16.0
32,8.4360e+03,8.4163e+03,-22.68,1.000,16.5
33,6.7377e+03,8.8773e+03,-26.04,1.000,17.0
34,5.3813e+03,9.4655e+03,-29.66,1.000,17.5
35,4.2980e+03,1.0221e+04,-33.46,1.000,18.0
36,3.4327e+03,1.1190e+04,-37.43,0.999,18.5
37,2.7417e+03,1.2440e+04,-41.20,1.000,18.9
38,2.1897e+03,1.4039e+04,-44.74,0.999,19.4
39,1.7489e+03,1.6063e+04,-47.88,1.000,19.9
40,1.3968e+03,1.8613e+04,-50.39,0.997,20.4
41,1.1156e+03,2.1776e+04,-52.18,0.997,20.9
42,8.9104e+02,2.5636e+04,-53.19,0.996,21.4
43,7.1166e+02,3.0286e+04,-53.23,0.998,21.8
44,5.6839e+02,3.5750e+04,-52.32,0.997,22.3
45,4.5397e+02,4.2013e+04,-50.34,0.994,22.8
46,3.6258e+02,4.8897e+04,-47.64,0.994,23.3
47,2.8959e+02,5.6150e+04,-44.12,0.992,23.9
48,2.3129e+02,6.3449e+04,-40.01,0.989,24.3
49,1.8473e+02,7.0390e+04,-35.15,0.987,25.0
50,1.4754e+02,7.6585e+04,-30.74,0.985,25.8
51,1.1784e+02,8.1830e+04,-26.54,0.985,26.3
52,9.4115e+01,8.6164e+04,-22.63,0.984,26.8
53,7.5168e+01,8.9516e+04,-19.20,0.983,27.4
54,5.9720e+01,9.2181e+04,-16.25,0.983,28.9
55,4.7292e+01,9.4380e+04,-13.70,0.982,30.6
56,3.7327e+01,9.6459e+04,-11.43,0.982,32.0
57,2.9364e+01,9.7752e+04,-9.77,0.983,33.5
58,2.3024e+01,9.9111e+04,-8.33,0.982,35.1
59,1.7994e+01,1.0037e+05,-7.19,0.982,37.0
60,1.4016e+01,1.0162e+05,-6.36,0.982,39.0
61,1.0883e+01,1.0288e+05,-5.71,0.982,41.3
62,8.4230e+00,1.0407e+05,-5.21,0.982,43.9
63,6.4987e+00,1.0536e+05,-4.74,0.983,47.0
64,4.9988e+00,1.0658e+05,-4.55,0.983,50.6
65,3.8337e+00,1.0833e+05,-4.39,0.982,54.8
66,2.9318e+00,1.0989e+05,-4.27,0.983,59.9
67,2.2359e+00,1.1110e+05,-4.33,0.983,66.0
68,1.7008e+00,1.1260e+05,-4.38,0.984,74.5
69,1.2907e+00,1.1444e+05,-4.51,0.983,83.8
70,9.7721e-01,1.1704e+05,-4.54,0.984,95.1
71,7.3838e-01,1.1956e+05,-4.62,0.984,108.8
72,5.5689e-01,1.2108e+05,-4.93,0.983,124.7
73,4.1935e-01,1.2361e+05,-5.13,0.985,145.2
74,3.1534e-01,1.2567e+05,-5.50,0.985,169.8
75,2.3687e-01,1.2860e+05,-5.78,0.985,199.9
76,1.7778e-01,1.3119e+05,-5.92,0.985,236.0
77,1.3335e-01,1.3399e+05,-6.10,0.985,278.4
78,1.0000e-01,1.3688e+05,-6.43,0.986,326.2
